,local_case,quarantine_case,death_case
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,0,0,0
2021-01-05,0,0,0
2021-01-06,0,0,0
2021-01-07,0,0,0
2021-01-08,0,0,0
2021-01-09,0,0,0
2021-01-10,0,0,0
2021-01-11,0,0,0
2021-01-12,0,0,0
2021-01-13,0,0,0
2021-01-14,0,0,0
2021-01-15,0,0,0
2021-01-16,0,0,0
2021-01-17,0,0,0
2021-01-18,0,0,0
2021-01-19,0,0,0
2021-01-20,0,0,0
2021-01-21,0,0,0
2021-01-22,0,0,0
2021-01-23,0,0,0
2021-01-24,0,0,0
2021-01-25,0,0,0
2021-01-26,0,0,0
2021-01-27,0,0,0
2021-01-28,2,0,0
2021-01-29,96,0,0
2021-01-30,39,0,0
2021-01-31,99,0,0
2021-02-01,34,0,0
2021-02-02,23,0,0
2021-02-03,36,0,0
2021-02-04,46,0,0
2021-02-05,18,0,0
2021-02-06,5,0,0
2021-02-07,20,0,0
2021-02-08,12,0,0
2021-02-09,53,0,0
2021-02-10,21,0,0
2021-02-11,49,0,0
2021-02-12,2,0,0
2021-02-13,49,0,0
2021-02-14,33,0,0
2021-02-15,11,0,0
2021-02-16,43,0,0
2021-02-17,44,0,0
2021-02-18,2,0,0
2021-02-19,19,0,0
2021-02-20,14,0,0
2021-02-21,13,0,0
2021-02-22,10,0,0
2021-02-23,16,0,0
2021-02-24,11,0,0
2021-02-25,8,0,0
2021-02-26,6,0,0
2021-02-27,6,0,0
2021-02-28,16,0,0
2021-03-01,13,0,0
2021-03-02,11,0,0
2021-03-03,9,0,0
2021-03-04,6,0,0
2021-03-05,6,0,0
2021-03-06,12,0,0
2021-03-07,2,0,0
2021-03-08,1,0,0
2021-03-09,1,0,0
2021-03-10,2,0,0
2021-03-11,0,0,0
2021-03-12,4,0,0
2021-03-13,2,0,0
2021-03-14,0,0,0
2021-03-15,1,0,0
2021-03-16,3,0,0
2021-03-17,2,0,0
2021-03-18,2,0,0
2021-03-19,0,0,0
2021-03-20,0,0,0
2021-03-21,0,0,0
2021-03-22,0,0,0
2021-03-23,0,0,0
2021-03-24,0,0,0
2021-03-25,2,0,0
2021-03-26,0,0,0
2021-03-27,0,0,0
2021-03-28,0,0,0
2021-03-29,0,0,0
2021-03-30,0,0,0
2021-03-31,0,0,0
2021-04-01,0,0,0
2021-04-02,0,0,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,0,0
2021-04-06,0,0,0
2021-04-07,0,0,0
2021-04-08,0,0,0
2021-04-09,0,0,0
2021-04-10,0,0,0
2021-04-11,0,0,0
2021-04-12,0,0,0
2021-04-13,0,0,0
2021-04-14,0,0,0
2021-04-15,0,0,0
2021-04-16,0,0,0
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,0,0,0
2021-04-20,0,0,0
2021-04-21,0,0,0
2021-04-22,0,0,0
2021-04-23,0,0,0
2021-04-24,0,0,0
2021-04-25,0,0,0
2021-04-26,0,0,0
2021-04-27,1,0,0
2021-04-28,0,0,0
2021-04-29,6,0,0
2021-04-30,7,0,0
2021-05-01,2,0,0
2021-05-02,3,0,0
2021-05-03,12,0,0
2021-05-04,7,0,0
2021-05-05,4,0,0
2021-05-06,77,0,0
2021-05-07,42,0,0
2021-05-08,82,0,0
2021-05-09,90,0,0
2021-05-10,128,0,0
2021-05-11,83,0,0
2021-05-12,76,0,0
2021-05-13,88,0,0
2021-05-14,96,0,0
2021-05-15,76,0,1
2021-05-16,291,0,0
2021-05-17,118,0,1
2021-05-18,156,0,0
2021-05-19,104,0,0
2021-05-20,196,0,2
2021-05-21,119,0,2
2021-05-22,146,0,0
2021-05-23,138,0,1
2021-05-24,189,0,2
2021-05-25,441,0,0
2021-05-26,236,0,1
2021-05-27,191,0,1
2021-05-28,294,0,1
2021-05-29,277,0,0
2021-05-30,202,0,0
2021-05-31,260,0,0
2021-06-01,262,0,0
2021-06-02,205,0,0
2021-06-03,252,0,0
2021-06-04,229,0,4
2021-06-05,241,0,1
2021-06-06,204,0,0
2021-06-07,214,0,3
2021-06-08,171,0,0
2021-06-09,383,0,0
2021-06-10,211,0,2
2021-06-11,186,0,1
2021-06-12,260,0,1
2021-06-13,282,0,0
2021-06-14,267,0,2
2021-06-15,398,0,0
2021-06-16,416,0,0
2021-06-17,503,0,0
2021-06-18,261,0,2
2021-06-19,440,0,3
2021-06-20,343,0,1
2021-06-21,268,0,3
2021-06-22,168,0,0
2021-06-23,217,0,1
